TIME,TRACE_ID,SRC_ID,DST_ID,BFT_ID,PEER_RX_ID1,TX_ANTENNA_ID1,TX_SECTOR_ID1,TX_AWV_ID1,PEER_RX_ID2,TX_ANTENNA_ID2,TX_SECTOR_ID2,TX_AWV_ID2,RX_ANTENNA_ID1,RX_SECTOR_ID1,RX_AWV_ID1,RX_ANTENNA_ID2,RX_SECTOR_ID2,RX_AWV_ID2,SINR_0_0,SINR_0_1,SINR_1_0,SINR_1_1,BSS_ID,MIN_STREAM_SINR_DB
1034583458,0,0,1,2,0,0,0,255,1,1,13,255,0,18,255,1,17,255,24.502,-31.3163,-25.4063,22.5887,0,22.5887
2059218735,1,0,1,3,0,0,17,255,1,1,0,255,0,13,255,1,0,255,22.8197,-26.5312,-31.7077,25.6055,0,22.8197
3083229921,2,0,1,4,0,0,0,255,1,1,13,255,0,0,255,1,17,255,25.7335,-29.0154,-26.5839,22.2405,0,22.2405
4107225047,3,0,1,5,0,0,0,255,1,1,17,255,0,18,255,1,17,255,26.6563,-34.1802,-38.1849,23.2674,0,23.2674
5131223944,4,0,1,6,0,0,17,255,1,1,18,255,0,13,255,1,18,255,23.2251,-24.8366,-34.7982,24.1324,0,23.2251
6155223462,5,0,1,7,1,0,13,255,0,1,0,255,0,18,255,1,13,255,-25.9985,20.0808,23.9033,-22.3244,0,20.0808
7179231409,6,0,1,8,0,0,18,255,1,1,17,255,0,18,255,1,17,255,32.8242,-33.6666,-43.6218,23.4637,0,23.4637
8203221239,7,0,1,9,0,0,0,255,1,1,17,255,0,18,255,1,17,255,32.382,-34.9593,-41.5148,22.9705,0,22.9705
9227230726,8,0,1,10,0,0,18,255,1,1,17,255,0,18,255,1,17,255,28.8864,-33.8973,-39.2474,23.1981,0,23.1981
10251220827,9,0,1,11,0,0,13,255,1,1,18,255,0,13,255,1,18,255,23.5307,-37.9634,-32.8122,29.1583,0,23.5307
11275228338,10,0,1,12,0,0,0,255,1,1,17,255,0,18,255,1,17,255,30.4359,-33.6551,-41.1951,22.6302,0,22.6302
12299231471,11,0,1,13,0,0,18,255,1,1,17,255,0,18,255,1,17,255,32.7874,-33.7211,-44.0505,23.4552,0,23.4552
13323229477,12,0,1,14,0,0,13,255,1,1,18,255,0,13,255,1,18,255,23.5203,-42.7858,-34.4704,32.9092,0,23.5203
14347219877,13,0,1,15,0,0,0,255,1,1,17,255,0,18,255,1,17,255,29.9004,-34.2803,-39.3268,23.7991,0,23.7991
15371225587,13,0,1,16,0,0,0,255,1,1,17,255,0,18,255,1,17,255,29.9004,-34.2803,-39.3268,23.7991,0,23.7991
16395218691,14,0,1,17,0,0,13,255,1,1,18,255,0,13,255,1,18,255,23.5949,-42.1385,-35.0873,31.6033,0,23.5949
17419227959,15,0,1,18,0,0,0,255,1,1,13,255,0,0,255,1,17,255,24.2897,-34.4997,-24.5742,23.5921,0,23.5921
18443229965,16,0,1,19,0,0,0,255,1,1,13,255,0,18,255,1,17,255,24.4285,-40.3421,-24.676,24.2022,0,24.2022
19467225538,17,0,1,20,0,0,13,255,1,1,18,255,0,13,255,1,18,255,24.0345,-47.5353,-41.7593,32.9204,0,24.0345
20491227484,18,0,1,21,0,0,13,255,1,1,0,255,0,13,255,1,18,255,21.1173,-50.7343,-38.5029,35.9214,0,21.1173
21515225455,19,0,1,22,1,0,17,255,0,1,14,255,0,18,255,1,13,255,-19.0565,17.8301,18.496,-18.9789,0,17.8301
22539226146,20,0,1,23,1,0,17,255,0,1,14,255,0,18,255,1,13,255,-19.0389,16.9057,18.5718,-17.8025,0,16.9057
23563224666,21,0,1,24,1,0,10,255,0,1,13,255,0,13,255,1,18,255,-16.9153,18.6606,15.8611,-19.0435,0,15.8611
24587223762,22,0,1,25,1,0,10,255,0,1,13,255,0,17,255,1,19,255,-16.75,16.5011,16.0693,-33.4888,0,16.0693
25611224011,23,0,1,26,1,0,9,255,0,1,9,255,0,5,255,1,19,255,-15.4122,15.2763,15.2725,-15.4161,0,15.2725
26635223577,24,0,1,27,1,0,9,255,0,1,9,255,0,23,255,1,19,255,-18.2368,18.1372,18.135,-18.239,0,18.135
27659225246,25,0,1,28,1,0,9,255,0,1,9,255,0,23,255,1,19,255,-18.2386,18.1674,18.1675,-18.2384,0,18.1674
28683224731,26,0,1,29,1,0,23,255,0,1,1,255,0,5,255,1,1,255,-42.4001,25.3988,25.3999,-42.4373,0,25.3988
29707227651,27,0,1,30,1,0,23,255,0,1,19,255,0,23,255,1,19,255,-49.5704,34.9449,34.9453,-49.5588,0,34.9449
30731230640,27,0,1,31,1,0,23,255,0,1,19,255,0,23,255,1,19,255,-49.5704,34.9449,34.9453,-49.5588,0,34.9449
31755227010,28,0,1,32,1,0,5,255,0,1,1,255,0,5,255,1,19,255,-55.6828,44.4085,44.4073,-55.6971,0,44.4073
32779225569,29,0,1,33,1,0,23,255,0,1,1,255,0,5,255,1,19,255,-57.7173,51.5659,51.5743,-57.6828,0,51.5659
33803223732,29,0,1,34,1,0,23,255,0,1,1,255,0,5,255,1,19,255,-57.7173,51.5659,51.5743,-57.6828,0,51.5659
34827223828,29,0,1,35,1,0,23,255,0,1,1,255,0,5,255,1,19,255,-57.7173,51.5659,51.5743,-57.6828,0,51.5659
